direction,entry_date,entry_price,exit_date,exit_price,units,shares,pnl
short,2019-03-06,24741.980713174835,2019-03-26,26738.876733879122,3,12.714841577611388,-41352.407549872354
short,2019-04-06,21322.436568962257,2019-04-15,24968.18244720435,1,5.258992943920536,-19172.95184900255
long,2019-05-10,30628.282177042103,2019-05-22,28492.37849123314,3,13.633695906478835,-43173.562896351934
long,2019-05-22,32945.55032620016,2019-05-26,29062.740173771246,2,7.4735941847343845,-33117.9019944679
long,2019-05-26,34168.86761457706,2019-05-27,29007.14421191556,1,3.344554166793319,-17263.6635142061
long,2019-06-24,34460.126323703,2019-08-07,41268.03872126689,4,16.75240677310245,88882.91973539443
short,2019-08-20,33301.401718188645,2019-09-10,34286.732877411305,4,14.7335437421919,-45250.16702058233
long,2019-09-28,44861.19292848653,2019-10-29,50151.15151934244,4,12.119669328468468,38962.88164211012
short,2019-11-20,41347.51823274708,2019-11-26,43103.84820477908,4,11.449159784934858,-48533.52819611672
long,2019-12-28,51367.76205848536,2019-12-31,45108.556043507095,1,2.8117995038064283,-17599.63236713807
long,2020-01-23,52699.287961815964,2020-01-25,48238.142850133285,2,6.260204317001434,-31871.292242286683
long,2020-02-11,56794.20436946346,2020-03-16,71799.72195800688,4,7.509564298308276,86518.62004537343
long,2020-04-16,91690.24539584448,2020-04-17,79898.04916066176,1,1.555315558702867,-18340.586275857066
long,2020-05-12,92695.22414586194,2020-06-19,104480.22394302784,4,6.571580765403051,48772.45132930683
long,2020-06-21,123121.23624096737,2020-07-07,116904.86885490439,4,4.554590956315436,-54379.18735211981
long,2020-07-11,137616.84785693345,2020-07-14,119874.56058387924,1,1.0067270107282453,-17861.63982988366
long,2020-07-14,138529.98730051276,2020-07-17,122460.84233413955,2,1.6648199520581577,-31044.844785337657
long,2020-08-16,143838.57039404393,2020-10-14,153815.4606515285,4,3.495763900168704,8487.02546895631
long,2020-11-07,187809.50209790692,2020-12-10,198030.92556341915,4,2.5616405326844545,524.5766423572268
short,2020-12-31,159627.80659252786,2021-04-03,118140.13514427164,4,2.832983488699817,89508.8032782053
short,2021-04-21,89281.27800392362,2021-04-28,101116.90151458283,2,2.3067310701761854,-32249.794449178433
short,2021-05-08,83680.88981270339,2021-06-18,85681.35385031857,4,5.47389910258708,-39794.09212845738
long,2021-07-07,97344.65302746336,2021-07-12,84520.5050687514,1,1.3578321592887996,-17413.040513816923
long,2021-08-06,100346.6476247878,2021-08-15,90308.72200707486,2,2.500631023446072,-29444.103712886186
long,2021-08-21,106184.3194030111,2021-10-01,123501.11827084859,4,4.850796192572999,59687.78763688371
short,2021-10-27,111254.64016906066,2021-11-04,120854.01900802838,3,3.0528675312413736,-41909.90077350692
short,2021-11-22,101213.49769607747,2021-11-27,118830.37924780414,1,0.9554162759810735,-16831.455366550377
short,2021-12-17,98493.72826412092,2021-12-21,115838.10982708848,1,0.9510184147723022,-16494.82625921936
long,2021-12-31,131117.70031094123,2022-01-06,125897.40440810302,4,4.319422830535027,-45497.834674143814
long,2022-01-29,144639.4002160245,2022-02-07,128613.73527590465,2,1.457500635651585,-27121.938616383486
long,2022-03-19,155527.29539711316,2022-03-21,134647.84024453227,1,0.7046416757865366,-14712.534268224435
long,2022-04-18,159290.03808806927,2022-05-14,172641.76070297265,4,2.6043690530273294,13082.588358459285
long,2022-06-12,211117.29056969212,2022-06-14,184035.98696830717,1,0.5420690069468587,-14679.935350029127
long,2022-07-09,216207.8014462125,2022-07-12,189376.12522578484,1,0.5361698808841414,-14386.336643028557
long,2022-07-28,217127.69131400605,2022-09-19,277196.3569103583,4,1.8480972291447495,87872.61503544227
short,2022-10-06,246303.53116072353,2022-10-13,258378.68500720727,3,1.6234070980404076,-32811.411609565694
short,2022-11-08,229489.4974936153,2022-11-29,253886.87552646696,2,0.9208457177348754,-26376.175727107187
short,2022-12-13,213508.07949155604,2022-12-23,225181.45985743002,4,1.4325726947374333,-38151.71619138551
short,2023-01-14,182312.62810546072,2023-01-25,195585.2411531635,3,1.5985544584365678,-31982.907552821132
long,2023-02-08,238026.89587740693,2023-05-09,372328.49410049507,4,1.723366750093,209279.92509851183
short,2023-05-30,331154.8247713561,2023-06-15,344923.7495251324,4,1.305488305465071,-45024.9617122856
long,2023-06-23,489365.93311113026,2023-07-16,506232.94035271264,4,1.1592681172830337,-3980.25743999307
long,2023-07-26,614556.4032325005,2023-08-03,592845.2608699264,4,0.7395349921534582,-41564.382777882536
long,2023-08-22,723276.0983816853,2023-09-14,702338.0033865207,4,0.6779428288500267,-39037.35590724791
short,2023-11-19,572235.9181057276,2023-11-25,619001.754388345,3,0.5132735919934606,-35013.71905958614
short,2023-12-03,510732.9075434108,2023-12-30,489449.11648250907,4,0.6360301800612186,-10948.361854278139
