direction,entry_date,entry_price,exit_date,exit_price,units,shares,pnl
short,2019-03-29,473.21648035266577,2019-04-16,486.2319381317641,3,2234.242245529842,-44315.61162656973
short,2019-04-23,456.95985339211353,2019-05-07,478.24904725500824,2,1281.967706254558,-32399.69200045887
short,2019-05-17,448.19386743239914,2019-05-27,469.8353188418142,2,1343.486880848755,-33391.35151781068
short,2019-07-03,437.366696329496,2019-09-13,441.9316405169925,4,2274.3203204693687,-39782.34489251582
short,2019-11-13,394.71388184017724,2020-02-24,323.0307908294131,4,3523.5466728811793,226006.3404474121
short,2020-03-31,295.3846149371422,2020-04-14,304.1373817855805,3,3682.52397515965,-48836.94144006249
short,2020-04-29,282.4219566528893,2020-05-21,299.6661958467674,1,1191.4476335200607,-20545.60797939989
long,2020-06-22,323.32426073230164,2020-07-07,314.1438555143685,3,2991.7634971750185,-43361.101103471105
long,2020-08-27,334.73636357004943,2020-09-07,321.63984534681776,2,2154.012974577022,-33164.748083602775
long,2020-09-14,340.10200925302456,2020-12-08,405.0838029021884,4,3223.334667474384,181989.88596047813
long,2021-01-07,446.2560397413874,2021-01-12,416.1351331857576,1,738.4896106695179,-22243.976555280024
long,2021-02-03,450.25783682866927,2021-02-11,434.0964568457036,2,1918.1249657713233,-36837.69590722997
long,2021-02-24,459.36684220289806,2021-04-01,447.9823579066221,4,2777.211328859712,-61168.67218683082
short,2021-04-09,403.8865971828029,2021-04-27,408.9323178113963,4,3004.931376327553,-46764.96827932147
long,2021-06-18,467.5080195821553,2021-06-23,439.9361332678872,1,685.6139649366074,-18903.670296706783
short,2021-07-12,385.4044269328507,2021-10-08,312.9288230776886,4,2615.6917625218725,160395.48268345784
short,2021-12-06,275.0812663073631,2021-12-10,293.8283494629692,1,1159.3006956894299,-21733.50654444175
short,2021-12-21,272.9733751650948,2022-03-11,231.52190092050046,4,5238.920442520697,183540.5804271853
short,2022-03-22,217.54087671249843,2022-03-29,229.3869259693581,1,2107.84604053858,-24969.64802209662
long,2022-04-15,240.96392420871436,2022-06-23,279.7596786350827,4,5653.876707574077,183449.46111130432
short,2022-08-02,261.37930140552174,2022-08-19,270.6622722778521,3,5329.513735164448,-69662.47094378826
short,2022-09-22,250.2499077610395,2022-09-30,269.7516143674668,1,1371.4694516114894,-26745.994865004996
long,2022-10-19,281.3474326669355,2022-10-27,264.81139268037765,1,1585.0877833515103,-26211.074967704924
short,2022-11-18,247.8628841257695,2022-12-15,252.31355912355485,4,6545.967824859464,-67027.18969370931
short,2023-01-10,222.94113659629352,2023-02-01,225.27481237145253,4,6677.046731736944,-56300.99173068682
long,2023-04-04,232.20496705738233,2023-06-05,244.57395900708107,4,7102.116631192364,53998.4642772612
short,2023-08-14,228.54338886233162,2023-09-08,236.23615843429027,3,4408.266285095685,-53157.52697452471
long,2023-10-27,262.50068782145456,2023-10-30,266.7447228193063,2,3103.0912104842146,7542.699260637251
