direction,entry_date,entry_price,exit_date,exit_price,units,shares,pnl
long,2019-03-19,423.3435238628055,2019-04-03,417.19927742680966,4,3448.8888174966155,-50890.42995967503
short,2019-05-21,398.79447085113094,2019-05-28,417.3872979867901,1,1020.9416385311617,-18982.1914008065
long,2019-07-12,439.9557824650894,2019-07-22,422.6315084257635,1,1073.7851139137406,-18602.54757279039
long,2019-07-30,442.5416106814901,2019-08-05,419.9959777286471,1,808.6043385637435,-18230.496621334547
short,2019-08-15,409.72461519165006,2019-09-20,419.06201871461724,3,2339.532973744862,-35962.3301580408
long,2019-11-05,432.72052192055173,2019-11-11,423.2853601462157,3,2624.534234618628,-37806.95300476682
long,2019-11-21,443.27758001288356,2019-12-02,436.61778675441496,4,2962.2535735617253,-43475.31436636901
short,2019-12-24,399.7127879498467,2020-03-02,368.0946837297668,4,3102.505293326224,74901.46512074301
long,2020-05-07,385.9052691111707,2020-06-01,381.1994115755791,4,4669.358065115761,-46360.82555478362
short,2020-08-11,359.54313227745695,2020-08-25,365.5527307801655,4,3660.231719824596,-44770.141151752905
short,2020-09-18,344.42878120143723,2020-10-26,342.56430063106217,4,3143.440483555808,-18802.537220030703
short,2020-12-03,315.65431301378436,2020-12-28,324.6130482240083,2,1898.8616513819982,-22075.002485353438
short,2021-01-04,307.8085639768104,2021-01-19,315.7097010668014,3,3071.261656132644,-34384.55235274483
short,2021-02-24,299.4911235929433,2021-03-09,303.12595735897565,4,4113.808223403257,-35138.719634050765
short,2021-05-19,287.67520417374357,2021-05-24,300.441385468433,1,1017.4059237407106,-12988.388472764882
long,2021-07-26,319.18668240957567,2021-08-02,309.05070565131615,2,1959.422022626347,-22869.7056847919
long,2021-08-19,327.3351563975522,2021-09-15,323.0020291786644,4,3413.6661494264267,-32804.36977426273
long,2021-10-11,344.84040246870495,2021-10-14,330.7746656943135,2,1322.9036075148308,-21241.794577402303
short,2021-11-01,305.2968687122868,2021-11-11,308.954153315782,4,2660.9032375907163,-26784.045384245466
long,2021-12-30,339.3396588934776,2022-01-04,328.3639644803252,2,1468.875679346453,-18764.846867747565
long,2022-03-29,326.7221588111078,2022-05-09,315.68296060800714,2,1133.2234462629199,-15040.439137957355
long,2022-05-16,335.25186905441075,2022-06-15,329.40569334200194,4,2187.0332696918085,-27279.042703288433
long,2022-06-29,365.0913964931985,2022-07-28,361.9920111567527,4,2052.721327608373,-20043.63557302457
long,2022-08-02,384.6605129531065,2022-08-03,367.60907809101724,1,529.6951947038958,-9032.063109255163
long,2022-09-26,389.11961750396705,2022-10-31,393.5985850251746,4,1877.0328701779786,-4966.095006781453
short,2022-11-28,366.5381416933786,2022-12-19,369.8976474836559,4,2059.0174958603047,-21326.753647435973
short,2023-02-01,348.96294955140456,2023-03-02,353.37946091496104,4,2121.3460825032607,-22453.595131343867
short,2023-03-31,331.9750673394995,2023-04-11,351.25615366084406,1,408.5087759105873,-7876.492971358835
short,2023-04-12,331.46138421819074,2023-05-26,325.32211573827624,4,1815.7865907718667,-1117.4924337373288
short,2023-07-07,297.79408598835477,2023-08-25,273.0164866152464,4,2156.7013855094156,41767.1249201075
short,2023-10-02,250.9217549185269,2023-10-30,231.02579884339707,4,2956.3174276309132,46811.28765305997
